texto,dependencia
"Por favor, Inscripciones para la banda de música juvenil.",Secretaría General de Gobierno (SGG)
"Hola, Inscripciones para la banda de música juvenil, gracias",Secretaría General de Gobierno (SGG)
"Hola, Inscripciones para la banda de música juvenil",Secretaría General de Gobierno (SGG)
Me quedé sin casa y no tengo a dónde ir,Secretaría General de Gobierno (SGG)
"Me quedé sin casa, no tengo a dónde ir",Secretaría General de Gobierno (SGG)
"Buen día, Me quedé sin casa y no tengo a dónde ir. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Por favor, Me quedé sin casa y no tengo a en qué lugar ir. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
Necesito ayuda urgente por discriminación,Secretaría General de Gobierno (SGG)
Requiero apoyo de manera urgente por discriminación,Secretaría General de Gobierno (SGG)
"Buen día, Necesito ayuda urgente por discriminación.",Secretaría General de Gobierno (SGG)
"Buen día, Necesito ayuda urgente por discriminación",Secretaría General de Gobierno (SGG)
Estoy en una situación crítica y no tengo para comer hoy,Secretaría General de Gobierno (SGG)
"Buen día, Estoy en una situación crítica, no tengo para comer hoy",Secretaría General de Gobierno (SGG)
"Estoy en una situación crítica, no tengo para comer hoy",Secretaría General de Gobierno (SGG)
"Hola, Estoy en una situación crítica y no tengo para comer hoy, gracias",Secretaría General de Gobierno (SGG)
Apoyo extraordinario por vulnerabilidad,Secretaría General de Gobierno (SGG)
Apoyo extraordinario por vulnerabilidad. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
"Buen día, Apoyo extraordinario por vulnerabilidad.",Secretaría General de Gobierno (SGG)
"Hola, Apoyo extraordinario por vulnerabilidad. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
Tengo problemas de ira y quiero cambiar,Secretaría General de Gobierno (SGG)
"quiero cambiar, Tengo problemas de ira",Secretaría General de Gobierno (SGG)
"Por favor, Tengo problemas de ira, quiero cambiar.",Secretaría General de Gobierno (SGG)
"Tengo problemas de ira, quiero cambiar",Secretaría General de Gobierno (SGG)
Ayuda psicológica para hombres violentos,Secretaría General de Gobierno (SGG)
Apoyo psicológica para hombres violentos,Secretaría General de Gobierno (SGG)
"Hola, Ayuda psicológica para hombres violentos.",Secretaría General de Gobierno (SGG)
"Por favor, Apoyo psicológica para hombres violentos, gracias",Secretaría General de Gobierno (SGG)
"No quiero golpear a mi pareja, necesito ayuda",Secretaría General de Gobierno (SGG)
"Por favor, No quiero golpear a mi pareja, me hace falta apoyo. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"No quiero golpear a mi pareja, necesito ayuda. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Hola, No busco golpear a mi pareja, necesito apoyo",Secretaría General de Gobierno (SGG)
Terapia para controlar los celos,Secretaría General de Gobierno (SGG)
Terapia para controlar los celos. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
Terapia para controlar los celos.,Secretaría General de Gobierno (SGG)
"Hola, Terapia para controlar los celos.",Secretaría General de Gobierno (SGG)
Centro de reeducación para hombres,Secretaría General de Gobierno (SGG)
"Buen día, Centro de reeducación para hombres.",Secretaría General de Gobierno (SGG)
Centro de reeducación para hombres. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
"Hola, Centro de reeducación para hombres.",Secretaría General de Gobierno (SGG)
Queremos talleres de prevención del delito en mi colonia,Secretaría General de Gobierno (SGG)
Queremos talleres de prevención del delito en mi colonia.,Secretaría General de Gobierno (SGG)
"Buen día, Queremos talleres de prevención del delito en mi colonia. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Buen día, Queremos talleres de prevención del delito en mi colonia.",Secretaría General de Gobierno (SGG)
Actividades para que los chavos no caigan en drogas,Secretaría General de Gobierno (SGG)
"Buen día, Actividades para que los chavos no caigan en drogas",Secretaría General de Gobierno (SGG)
"Por favor, Actividades para que los chavos no caigan en drogas, gracias",Secretaría General de Gobierno (SGG)
Actividades para que los chavos no caigan en drogas. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
Pláticas de seguridad para la escuela,Secretaría General de Gobierno (SGG)
Pláticas de seguridad para la escuela.,Secretaría General de Gobierno (SGG)
"Por favor, Pláticas de seguridad para la escuela, gracias",Secretaría General de Gobierno (SGG)
"Por favor, Pláticas de seguridad para la escuela",Secretaría General de Gobierno (SGG)
Torneos deportivos contra la violencia,Secretaría General de Gobierno (SGG)
"Buen día, Torneos deportivos contra la violencia. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Buen día, Torneos deportivos contra la violencia, gracias",Secretaría General de Gobierno (SGG)
"Hola, Torneos deportivos contra la violencia. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
¿Dónde están los refugios para el huracán?,Secretaría General de Gobierno (SGG)
¿Dónde están los refugios para el huracán?. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
¿En qué lugar están los refugios para el huracán?,Secretaría General de Gobierno (SGG)
"Por favor, ¿Dónde están los refugios para el huracán?. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
Reportar un árbol a punto de caer por la lluvia,Secretaría General de Gobierno (SGG)
Reportar un árbol a punto de caer por la lluvia. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
"Hola, Reportar un árbol a punto de caer por la lluvia. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Por favor, Reportar un árbol a punto de caer por la lluvia.",Secretaría General de Gobierno (SGG)
"Necesito costales de arena, se inunda mi calle",Secretaría General de Gobierno (SGG)
"se inunda mi calle, Necesito costales de arena",Secretaría General de Gobierno (SGG)
"Por favor, se inunda mi calle, Me hace falta costales de arena, gracias",Secretaría General de Gobierno (SGG)
"Necesito costales de arena, se inunda mi calle.",Secretaría General de Gobierno (SGG)
Plan de emergencia para ciclones,Secretaría General de Gobierno (SGG)
"Hola, Plan de emergencia para ciclones",Secretaría General de Gobierno (SGG)
Plan de emergencia para ciclones. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
"Hola, Plan de emergencia para ciclones, gracias",Secretaría General de Gobierno (SGG)
Información sobre prevención de embarazo,Secretaría General de Gobierno (SGG)
"Por favor, Información sobre prevención de embarazo.",Secretaría General de Gobierno (SGG)
"Hola, Información sobre prevención de embarazo. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"Buen día, Información sobre prevención de embarazo.",Secretaría General de Gobierno (SGG)
Pláticas de sexualidad para mi escuela,Secretaría General de Gobierno (SGG)
"Pláticas de sexualidad para mi escuela, gracias",Secretaría General de Gobierno (SGG)
"Hola, Pláticas de sexualidad para mi escuela.",Secretaría General de Gobierno (SGG)
"Buen día, Pláticas de sexualidad para mi escuela",Secretaría General de Gobierno (SGG)
"Soy adolescente y estoy embarazada, ¿qué hago?",Secretaría General de Gobierno (SGG)
"Buen día, ¿qué hago?, Soy adolescente, estoy embarazada, gracias",Secretaría General de Gobierno (SGG)
"Hola, estoy embarazada, Soy adolescente, ¿qué hago?. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
"¿qué hago?, Soy adolescente, estoy embarazada",Secretaría General de Gobierno (SGG)
Talleres del programa protégete,Secretaría General de Gobierno (SGG)
Talleres del programa protégete. Por favor ayúdenme.,Secretaría General de Gobierno (SGG)
"Hola, Talleres del programa protégete, gracias",Secretaría General de Gobierno (SGG)
"Buen día, Talleres del programa protégete. Por favor ayúdenme.",Secretaría General de Gobierno (SGG)
Me quiero casar por el civil,Consejería Jurídica (Registro Civil)
"Hola, Me quiero casar por el civil, gracias",Consejería Jurídica (Registro Civil)
"Hola, Me busco casar por el civil. Por favor ayúdenme.",Consejería Jurídica (Registro Civil)
"Por favor, Me quiero casar por el civil.",Consejería Jurídica (Registro Civil)
Requisitos para las Bodas del Renacimiento Maya,Consejería Jurídica (Registro Civil)
Requisitos para las Bodas del Renacimiento Maya. Por favor ayúdenme.,Consejería Jurídica (Registro Civil)
"Buen día, Requisitos para las Bodas del Renacimiento Maya.",Consejería Jurídica (Registro Civil)
"Hola, Requisitos para las Bodas del Renacimiento Maya.",Consejería Jurídica (Registro Civil)
Queremos legalizar nuestra unión,Consejería Jurídica (Registro Civil)
"Buen día, Queremos legalizar nuestra unión.",Consejería Jurídica (Registro Civil)
Queremos legalizar nuestra unión.,Consejería Jurídica (Registro Civil)
"Por favor, Queremos legalizar nuestra unión. Por favor ayúdenme.",Consejería Jurídica (Registro Civil)
¿Cuándo son las próximas bodas del gobierno?,Consejería Jurídica (Registro Civil)
"Hola, ¿Cuándo son las próximas bodas del gobierno?",Consejería Jurídica (Registro Civil)
"Por favor, ¿Cuándo son las próximas bodas del gobierno?.",Consejería Jurídica (Registro Civil)
"Buen día, ¿Cuándo son las próximas bodas del gobierno?, gracias",Consejería Jurídica (Registro Civil)
Necesito inscribir mi matrimonio,Consejería Jurídica (Registro Civil)
"Hola, Requiero inscribir mi matrimonio",Consejería Jurídica (Registro Civil)
Necesito inscribir mi matrimonio. Por favor ayúdenme.,Consejería Jurídica (Registro Civil)
"Buen día, Necesito inscribir mi matrimonio. Por favor ayúdenme.",Consejería Jurídica (Registro Civil)
Busco fecha para casarme en el registro civil,Consejería Jurídica (Registro Civil)
"Hola, Busco fecha para casarme en el registro civil.",Consejería Jurídica (Registro Civil)
"Por favor, Busco fecha para casarme en el registro civil.",Consejería Jurídica (Registro Civil)
"Por favor, Busco fecha para casarme en el registro civil",Consejería Jurídica (Registro Civil)
Necesito una ambulancia urgente hubo un choque,Secretaría de Salud de Yucatán (SSY)
"Por favor, Me hace falta una ambulancia con urgencia hubo un choque",Secretaría de Salud de Yucatán (SSY)
Preciso una ambulancia con urgencia hubo un choque,Secretaría de Salud de Yucatán (SSY)
Requiero una ambulancia urgente hubo un choque,Secretaría de Salud de Yucatán (SSY)
Me mordió una araña y se me está hinchando el brazo,Secretaría de Salud de Yucatán (SSY)
"Me mordió una araña y se me está hinchando el brazo, gracias",Secretaría de Salud de Yucatán (SSY)
"Hola, Me mordió una araña, se me está hinchando el brazo, gracias",Secretaría de Salud de Yucatán (SSY)
"Hola, Me mordió una araña y se me está hinchando el brazo. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
No tengo seguro social y necesito ver a un doctor,Secretaría de Salud de Yucatán (SSY)
"Buen día, No tengo seguro social, necesito ver a un doctor. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
"Por favor, No tengo seguro social y requiero ver a un doctor",Secretaría de Salud de Yucatán (SSY)
"Hola, necesito ver a un doctor, No tengo seguro social. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
Dónde atienden urgencias si no tengo IMSS,Secretaría de Salud de Yucatán (SSY)
"Hola, Dónde atienden urgencias si estoy sin IMSS, gracias",Secretaría de Salud de Yucatán (SSY)
"Hola, Dónde atienden urgencias si no tengo IMSS.",Secretaría de Salud de Yucatán (SSY)
Dónde atienden urgencias si me falta IMSS,Secretaría de Salud de Yucatán (SSY)
Mi hijo anda en malos pasos con drogas necesito ayuda,Secretaría de Salud de Yucatán (SSY)
Mi hijo anda en malos pasos con drogas preciso asistencia,Secretaría de Salud de Yucatán (SSY)
Mi hijo anda en malos pasos con drogas necesito ayuda.,Secretaría de Salud de Yucatán (SSY)
"Buen día, Mi hijo anda en malos pasos con drogas requiero apoyo, gracias",Secretaría de Salud de Yucatán (SSY)
Me siento muy deprimido y quiero hablar con alguien,Secretaría de Salud de Yucatán (SSY)
"Por favor, Me siento muy deprimido y quiero hablar con alguien. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
Me siento muy deprimido y deseo hablar con alguien,Secretaría de Salud de Yucatán (SSY)
"Me siento muy deprimido, quiero hablar con alguien",Secretaría de Salud de Yucatán (SSY)
Ayuda psicológica gratuita,Secretaría de Salud de Yucatán (SSY)
"Buen día, Asistencia psicológica gratuita",Secretaría de Salud de Yucatán (SSY)
"Buen día, Apoyo psicológica gratuita, gracias",Secretaría de Salud de Yucatán (SSY)
Apoyo psicológica gratuita,Secretaría de Salud de Yucatán (SSY)
Terapia para dejar de fumar o beber,Secretaría de Salud de Yucatán (SSY)
"Hola, Terapia para dejar de fumar o beber",Secretaría de Salud de Yucatán (SSY)
Terapia para dejar de fumar o beber. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
"Por favor, Terapia para dejar de fumar o beber. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
Mi familiar tiene esquizofrenia y se puso agresivo,Secretaría de Salud de Yucatán (SSY)
"Buen día, Mi familiar tiene esquizofrenia y se puso agresivo",Secretaría de Salud de Yucatán (SSY)
"Buen día, Mi familiar tiene esquizofrenia y se puso agresivo. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
Mi familiar tiene esquizofrenia y se puso agresivo.,Secretaría de Salud de Yucatán (SSY)
Quiero ponerme el implante anticonceptivo,Secretaría de Salud de Yucatán (SSY)
"Busco ponerme el implante anticonceptivo, gracias",Secretaría de Salud de Yucatán (SSY)
Quiero ponerme el implante anticonceptivo. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
Me gustaría ponerme el implante anticonceptivo,Secretaría de Salud de Yucatán (SSY)
Estoy embarazada y necesito control médico,Secretaría de Salud de Yucatán (SSY)
"Estoy embarazada, necesito control médico",Secretaría de Salud de Yucatán (SSY)
"me hace falta control médico, Estoy embarazada, gracias",Secretaría de Salud de Yucatán (SSY)
Estoy embarazada y preciso control médico,Secretaría de Salud de Yucatán (SSY)
Dónde hacen mastografías gratis,Secretaría de Salud de Yucatán (SSY)
"Hola, Dónde hacen mastografías gratis.",Secretaría de Salud de Yucatán (SSY)
En qué lugar hacen mastografías gratis,Secretaría de Salud de Yucatán (SSY)
Dónde hacen mastografías gratis. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
Prueba de cáncer cervicouterino,Secretaría de Salud de Yucatán (SSY)
"Buen día, Prueba de cáncer cervicouterino. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
"Por favor, Prueba de cáncer cervicouterino",Secretaría de Salud de Yucatán (SSY)
Prueba de cáncer cervicouterino.,Secretaría de Salud de Yucatán (SSY)
Parteras tradicionales,Secretaría de Salud de Yucatán (SSY)
Parteras tradicionales. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
"Por favor, Parteras tradicionales. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
"Buen día, Parteras tradicionales.",Secretaría de Salud de Yucatán (SSY)
"Hay muchos mosquitos en mi colonia, vengan a fumigar",Secretaría de Salud de Yucatán (SSY)
"Hola, Hay muchos mosquitos en mi colonia, vengan a fumigar, gracias",Secretaría de Salud de Yucatán (SSY)
"Buen día, Hay muchos mosquitos en mi colonia, vengan a fumigar. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
"vengan a fumigar, Hay muchos mosquitos en mi colonia",Secretaría de Salud de Yucatán (SSY)
"Mi vecino tiene dengue, necesito que revisen la cuadra",Secretaría de Salud de Yucatán (SSY)
"requiero que revisen la cuadra, Mi vecino tiene dengue",Secretaría de Salud de Yucatán (SSY)
"Por favor, Mi vecino tiene dengue, necesito que revisen la cuadra. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
"Mi vecino tiene dengue, me hace falta que revisen la cuadra",Secretaría de Salud de Yucatán (SSY)
Me mordió un perro callejero,Secretaría de Salud de Yucatán (SSY)
"Hola, Me mordió un perro callejero, gracias",Secretaría de Salud de Yucatán (SSY)
"Por favor, Me mordió un perro callejero. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
"Hola, Me mordió un perro callejero.",Secretaría de Salud de Yucatán (SSY)
Campaña de vacunación para perros y gatos,Secretaría de Salud de Yucatán (SSY)
"Campaña de vacunación para perros, gatos, gracias",Secretaría de Salud de Yucatán (SSY)
Campaña de vacunación para perros y gatos. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
"gatos, Campaña de vacunación para perros",Secretaría de Salud de Yucatán (SSY)
Necesito control para mi diabetes,Secretaría de Salud de Yucatán (SSY)
"Hola, Necesito control para mi diabetes.",Secretaría de Salud de Yucatán (SSY)
"Por favor, Preciso control para mi diabetes, gracias",Secretaría de Salud de Yucatán (SSY)
Necesito control para mi diabetes. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
Mi abuelita tiene la presión muy alta,Secretaría de Salud de Yucatán (SSY)
"Por favor, Mi abuelita tiene la presión muy alta, gracias",Secretaría de Salud de Yucatán (SSY)
"Hola, Mi abuelita tiene la presión muy alta.",Secretaría de Salud de Yucatán (SSY)
"Buen día, Mi abuelita tiene la presión muy alta.",Secretaría de Salud de Yucatán (SSY)
Busco nutriólogo para bajar de peso por salud,Secretaría de Salud de Yucatán (SSY)
"Hola, Busco nutriólogo para bajar de peso por salud.",Secretaría de Salud de Yucatán (SSY)
"Por favor, Busco nutriólogo para bajar de peso por salud, gracias",Secretaría de Salud de Yucatán (SSY)
"Buen día, Busco nutriólogo para bajar de peso por salud, gracias",Secretaría de Salud de Yucatán (SSY)
Pruebas de glucosa,Secretaría de Salud de Yucatán (SSY)
"Por favor, Pruebas de glucosa",Secretaría de Salud de Yucatán (SSY)
"Hola, Pruebas de glucosa, gracias",Secretaría de Salud de Yucatán (SSY)
"Buen día, Pruebas de glucosa, gracias",Secretaría de Salud de Yucatán (SSY)
Dónde ponen la vacuna de la influenza,Secretaría de Salud de Yucatán (SSY)
"Buen día, En qué lugar ponen la vacuna de la influenza.",Secretaría de Salud de Yucatán (SSY)
"Por favor, Dónde ponen la vacuna de la influenza",Secretaría de Salud de Yucatán (SSY)
"Buen día, Dónde ponen la vacuna de la influenza. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
A mi bebé le toca la vacuna de los 4 meses,Secretaría de Salud de Yucatán (SSY)
"Buen día, A mi bebé le toca la vacuna de los 4 meses.",Secretaría de Salud de Yucatán (SSY)
"Buen día, A mi bebé le toca la vacuna de los 4 meses. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
"Por favor, A mi bebé le toca la vacuna de los 4 meses. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
Prueba del tamiz auditivo para recién nacidos,Secretaría de Salud de Yucatán (SSY)
"Prueba del tamiz auditivo para recién nacidos, gracias",Secretaría de Salud de Yucatán (SSY)
Prueba del tamiz auditivo para recién nacidos.,Secretaría de Salud de Yucatán (SSY)
"Buen día, Prueba del tamiz auditivo para recién nacidos. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
Campaña de vacunación en escuelas,Secretaría de Salud de Yucatán (SSY)
"Hola, Campaña de vacunación en escuelas.",Secretaría de Salud de Yucatán (SSY)
Campaña de vacunación en escuelas. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
"Hola, Campaña de vacunación en escuelas. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
Me duele mucho la muela necesito dentista,Secretaría de Salud de Yucatán (SSY)
"Hola, Me duele mucho la muela necesito dentista.",Secretaría de Salud de Yucatán (SSY)
Me duele mucho la muela necesito dentista. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
"Me duele mucho la muela necesito dentista, gracias",Secretaría de Salud de Yucatán (SSY)
Sacan muelas en el centro de salud?,Secretaría de Salud de Yucatán (SSY)
Sacan muelas en el centro de salud?. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
"Sacan muelas en el centro de salud?, gracias",Secretaría de Salud de Yucatán (SSY)
"Hola, Sacan muelas en el centro de salud?. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
Limpieza dental gratuita,Secretaría de Salud de Yucatán (SSY)
"Buen día, Limpieza dental gratuita. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
Limpieza dental gratuita. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
"Por favor, Limpieza dental gratuita, gracias",Secretaría de Salud de Yucatán (SSY)
Tengo infección en la boca,Secretaría de Salud de Yucatán (SSY)
"Buen día, Tengo infección en la boca.",Secretaría de Salud de Yucatán (SSY)
"Por favor, Tengo infección en la boca. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
"Por favor, Tengo infección en la boca",Secretaría de Salud de Yucatán (SSY)
El doctor me operó mal y quiero demandar,Secretaría de Salud de Yucatán (SSY)
"El doctor me operó mal, quiero demandar",Secretaría de Salud de Yucatán (SSY)
"Hola, El doctor me operó mal y quiero demandar. Por favor ayúdenme.",Secretaría de Salud de Yucatán (SSY)
"Buen día, busco demandar, El doctor me operó mal",Secretaría de Salud de Yucatán (SSY)
No me atendieron bien en el hospital,Secretaría de Salud de Yucatán (SSY)
No me atendieron bien en el hospital. Por favor ayúdenme.,Secretaría de Salud de Yucatán (SSY)
"Buen día, No me atendieron bien en el hospital, gracias",Secretaría de Salud de Yucatán (SSY)
"Buen día, No me atendieron bien en el hospital.",Secretaría de Salud de Yucatán (SSY)
Poner una queja contra un médico,Secretaría de Salud de Yucatán (SSY)
"Hola, Poner una queja contra un médico",Secretaría de Salud de Yucatán (SSY)
"Por favor, Poner una queja contra un médico.",Secretaría de Salud de Yucatán (SSY)
"Buen día, Poner una queja contra un médico, gracias",Secretaría de Salud de Yucatán (SSY)
Ayuda legal por error médico,Secretaría de Salud de Yucatán (SSY)
Apoyo legal por error médico.,Secretaría de Salud de Yucatán (SSY)
"Hola, Ayuda legal por error médico, gracias",Secretaría de Salud de Yucatán (SSY)
Asistencia legal por error médico,Secretaría de Salud de Yucatán (SSY)
Necesito útiles para mi hijo que entra a la primaria,Secretaría de Bienestar (SEDESOL Yucatán)
Requiero útiles para mi hijo que entra a la primaria,Secretaría de Bienestar (SEDESOL Yucatán)
"Buen día, Necesito útiles para mi hijo que entra a la primaria. Por favor ayúdenme.",Secretaría de Bienestar (SEDESOL Yucatán)
Preciso útiles para mi hijo que entra a la primaria,Secretaría de Bienestar (SEDESOL Yucatán)
Soy estudiante de universidad y busco una beca,Secretaría de Bienestar (SEDESOL Yucatán)
"Buen día, Soy estudiante de universidad y busco una beca. Por favor ayúdenme.",Secretaría de Bienestar (SEDESOL Yucatán)
"Soy estudiante de universidad, busco una beca",Secretaría de Bienestar (SEDESOL Yucatán)
"Por favor, busco una beca, Soy estudiante de universidad.",Secretaría de Bienestar (SEDESOL Yucatán)
Cuándo dan las mochilas y zapatos del gobierno,Secretaría de Bienestar (SEDESOL Yucatán)
"Buen día, Cuándo dan las mochilas y zapatos del gobierno, gracias",Secretaría de Bienestar (SEDESOL Yucatán)
"Hola, zapatos del gobierno, Cuándo dan las mochilas. Por favor ayúdenme.",Secretaría de Bienestar (SEDESOL Yucatán)
